Name,ID,Team
Josh Brown,1223047,Chattogram Challengers 
Stephen Eskinazi,631668,Chattogram Challengers 
Imranuzzaman,932569,Chattogram Challengers 
Mohammad Haris,1205559,Chattogram Challengers 
Najibullah Zadran,524049,Chattogram Challengers 
Shahadat Hossain,989935,Chattogram Challengers 
Tanzid Hasan,990023,Chattogram Challengers 
Curtis Campher,595921,Chattogram Challengers 
Shohidul Islam,56125,Chattogram Challengers 
Shuvagata Hom,402992,Chattogram Challengers 
Shykat Ali,314743,Chattogram Challengers 
Ziaur Rahman,56167,Chattogram Challengers 
Al-Amin Hossain,511532,Chattogram Challengers 
Bilal Khan,937953,Chattogram Challengers 
Mohammad Hasnain,1158100,Chattogram Challengers 
Salauddin Sakil,932453,Chattogram Challengers 
Josh Brown,1223047,Comilla Victorians 
Stephen Eskinazi,631668,Comilla Victorians 
Imranuzzaman,932569,Comilla Victorians 
Mohammad Haris,1205559,Comilla Victorians 
Najibullah Zadran,524049,Comilla Victorians 
Shahadat Hossain,989935,Comilla Victorians 
Tanzid Hasan,990023,Comilla Victorians 
Curtis Campher,595921,Comilla Victorians 
Shohidul Islam,56125,Comilla Victorians 
Shuvagata Hom,402992,Comilla Victorians 
Shykat Ali,314743,Comilla Victorians 
Ziaur Rahman,56167,Comilla Victorians 
Al-Amin Hossain,511532,Comilla Victorians 
Bilal Khan,937953,Comilla Victorians 
Mohammad Hasnain,1158100,Comilla Victorians 
Salauddin Sakil,932453,Comilla Victorians 
Josh Brown,1223047,Durdanto Dhaka 
Stephen Eskinazi,631668,Durdanto Dhaka 
Imranuzzaman,932569,Durdanto Dhaka 
Mohammad Haris,1205559,Durdanto Dhaka 
Najibullah Zadran,524049,Durdanto Dhaka 
Shahadat Hossain,989935,Durdanto Dhaka 
Tanzid Hasan,990023,Durdanto Dhaka 
Curtis Campher,595921,Durdanto Dhaka 
Shohidul Islam,56125,Durdanto Dhaka 
Shuvagata Hom,402992,Durdanto Dhaka 
Shykat Ali,314743,Durdanto Dhaka 
Ziaur Rahman,56167,Durdanto Dhaka 
Al-Amin Hossain,511532,Durdanto Dhaka 
Bilal Khan,937953,Durdanto Dhaka 
Mohammad Hasnain,1158100,Durdanto Dhaka 
Salauddin Sakil,932453,Durdanto Dhaka 
Josh Brown,1223047,Fortune Barishal 
Stephen Eskinazi,631668,Fortune Barishal 
Imranuzzaman,932569,Fortune Barishal 
Mohammad Haris,1205559,Fortune Barishal 
Najibullah Zadran,524049,Fortune Barishal 
Shahadat Hossain,989935,Fortune Barishal 
Tanzid Hasan,990023,Fortune Barishal 
Curtis Campher,595921,Fortune Barishal 
Shohidul Islam,56125,Fortune Barishal 
Shuvagata Hom,402992,Fortune Barishal 
Shykat Ali,314743,Fortune Barishal 
Ziaur Rahman,56167,Fortune Barishal 
Al-Amin Hossain,511532,Fortune Barishal 
Bilal Khan,937953,Fortune Barishal 
Mohammad Hasnain,1158100,Fortune Barishal 
Salauddin Sakil,932453,Fortune Barishal 
Josh Brown,1223047,Khulna Tigers 
Stephen Eskinazi,631668,Khulna Tigers 
Imranuzzaman,932569,Khulna Tigers 
Mohammad Haris,1205559,Khulna Tigers 
Najibullah Zadran,524049,Khulna Tigers 
Shahadat Hossain,989935,Khulna Tigers 
Tanzid Hasan,990023,Khulna Tigers 
Curtis Campher,595921,Khulna Tigers 
Shohidul Islam,56125,Khulna Tigers 
Shuvagata Hom,402992,Khulna Tigers 
Shykat Ali,314743,Khulna Tigers 
Ziaur Rahman,56167,Khulna Tigers 
Al-Amin Hossain,511532,Khulna Tigers 
Bilal Khan,937953,Khulna Tigers 
Mohammad Hasnain,1158100,Khulna Tigers 
Salauddin Sakil,932453,Khulna Tigers 
Josh Brown,1223047,Rangpur Riders 
Stephen Eskinazi,631668,Rangpur Riders 
Imranuzzaman,932569,Rangpur Riders 
Mohammad Haris,1205559,Rangpur Riders 
Najibullah Zadran,524049,Rangpur Riders 
Shahadat Hossain,989935,Rangpur Riders 
Tanzid Hasan,990023,Rangpur Riders 
Curtis Campher,595921,Rangpur Riders 
Shohidul Islam,56125,Rangpur Riders 
Shuvagata Hom,402992,Rangpur Riders 
Shykat Ali,314743,Rangpur Riders 
Ziaur Rahman,56167,Rangpur Riders 
Al-Amin Hossain,511532,Rangpur Riders 
Bilal Khan,937953,Rangpur Riders 
Mohammad Hasnain,1158100,Rangpur Riders 
Salauddin Sakil,932453,Rangpur Riders 
Josh Brown,1223047,Sylhet Strikers 
Stephen Eskinazi,631668,Sylhet Strikers 
Imranuzzaman,932569,Sylhet Strikers 
Mohammad Haris,1205559,Sylhet Strikers 
Najibullah Zadran,524049,Sylhet Strikers 
Shahadat Hossain,989935,Sylhet Strikers 
Tanzid Hasan,990023,Sylhet Strikers 
Curtis Campher,595921,Sylhet Strikers 
Shohidul Islam,56125,Sylhet Strikers 
Shuvagata Hom,402992,Sylhet Strikers 
Shykat Ali,314743,Sylhet Strikers 
Ziaur Rahman,56167,Sylhet Strikers 
Al-Amin Hossain,511532,Sylhet Strikers 
Bilal Khan,937953,Sylhet Strikers 
Mohammad Hasnain,1158100,Sylhet Strikers 
Salauddin Sakil,932453,Sylhet Strikers 
