Player Name,2011,2012,2013,2018,2019,2020,2021,2022,2023,2024
Travis Head,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers
Rashid Khan,,,,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,Adelaide Strikers,
Jamie Overton,,,,,,,,,Adelaide Strikers,Adelaide Strikers
Spencer Johnson,,,,,,Adelaide Strikers,Adelaide Strikers,Brisbane Heat,Brisbane Heat,Brisbane Heat
Xavier Bartlett,,,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat
Tim David,,,,,Perth Scorchers,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes
Nathan Ellis,,,,,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes,Hobart Hurricanes
Quinton de Kock,,,,,,,,,Melbourne Renegades,
Jake Fraser-McGurk,,,,,,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades,Melbourne Renegades
Mujeeb Ur Rahman,,,,Brisbane Heat,Brisbane Heat,Brisbane Heat,Brisbane Heat,Melbourne Renegades,Melbourne Renegades,
Adam Zampa,,Sydney Thunder,Adelaide Strikers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Renegades,Melbourne Renegades
Glenn Maxwell,Melbourne Renegades,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars
Marcus Stoinis,,Perth Scorchers,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars,Melbourne Stars
Aaron Hardie,,,,Perth Scorchers,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Josh Inglis,,,,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Mitchell Marsh,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers,Perth Scorchers
Harry Brook,,,,,,,Hobart Hurricanes,,,
Reece Topley,,,,,,,Melbourne Renegades,,,
Andre Russell,,,,,,,Melbourne Stars,Melbourne Renegades,,
Josh Hazlewood,Sydney Sixers,Sydney Sixers,Sydney Sixers,,Sydney Sixers,,,,,Sydney Sixers
Liam Livingstone,,,,,Perth Scorchers,Perth Scorchers,,,,
David Miller,,,,,Hobart Hurricanes,,,,,
Mitchell Starc,Sydney Sixers,Sydney Sixers,Sydney Sixers,,,Sydney Sixers,,,,Sydney Sixers
Pat Cummins,Sydney Sixers,Perth Scorchers,Perth Scorchers,Sydney Thunder,,,,,,Sydney Thunder
Jos Buttler,,,Melbourne Renegades,Sydney Thunder,,,,,,
Noor Ahmad,,,,,,Melbourne Renegades,,,,
Will Jacks,,,,,,Hobart Hurricanes,,,,
Nicholas Pooran,,,,,,Melbourne Stars,,,,
Jacob Bethell,,,,,,,,,,Melbourne Renegades
Sherfane Rutherford,,,,,,,,,,Sydney Thunder
Lockie Ferguson,,,,,,,,,,Sydney Thunder
Faf du Plessis,,Melbourne Renegades,,,,,,Perth Scorchers,,
Sunil Narine,,Sydney Sixers,,,,,,,,
Jofra Archer,,,,Hobart Hurricanes,,,,,,
Trent Boult,,,,,,,,Melbourne Stars,,
Fazalhaq Farooqi,,,,,,,,Sydney Thunder,,
