Ground_Name,Ground_ID,Batting_Friendliness,Overall_Average,Overall_RPO
Lucknow,1070094,0.172,22.13,7.26
Delhi,58040,0.325,23.6,7.58
Chennai,58008,0.355,24.21,7.58
Visakhapatnam,58547,0.364,22.73,7.91
Dharamsala,58056,0.387,23.06,7.94
Eden Gardens,57980,0.456,24.13,8.0
Pune,545380,0.457,24.8,7.87
Hyderabad,58142,0.564,25.7,8.12
Guwahati,680295,0.572,27.13,7.86
Bengaluru,57897,0.588,25.73,8.21
Mohali,57991,0.593,26.17,8.14
Jaipur,58162,0.722,28.21,8.25
Ahmedabad,57851,0.741,26.94,8.58
Wankhede,58324,0.904,28.46,8.92
